"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","SYMBOL","ENTREZID"
-0.810679899906966,7.75881371811588,-4.06538001647046,7.61760872447815e-05,0.00302160486983062,1.37973771356343,"ILMN_1668861","LOC732165","732165"
-0.642835508873584,7.27375998483381,-4.06437460644409,7.64731346079242e-05,0.00302427944066172,1.3762025047945,"ILMN_2102951","FAHD2A","51011"
-1.13545870758063,8.67518784130039,-4.06373323848334,7.66632035101594e-05,0.00302427944066172,1.37394769990607,"ILMN_1727738","RAB33B","83452"
-1.19010917084668,8.16132124644796,-4.06196984821421,7.71881102923577e-05,0.00303365671959408,1.36774975555973,"ILMN_2308950","AKAP12","9590"
-0.86899440396672,7.60364534077413,-4.06137513237818,7.73659112255838e-05,0.00303365671959408,1.36565993879326,"ILMN_1744611","WDSOF1","25879"
-0.588299947677166,11.945388066191,-4.06105350279382,7.74622309749252e-05,0.00303365671959408,1.36452984205916,"ILMN_2215382","DDX51","317781"
-0.71198841507497,7.12560792527618,-4.06017487629537,7.77259407770544e-05,0.00303847990545816,1.36144301190281,"ILMN_2054053","TMEM67","91147"
-0.98405625943688,8.02075258425801,-4.059623779143,7.78917834754715e-05,0.00303946674218907,1.35950714448449,"ILMN_1652003","GNG10","2790"
-1.3037077187911,9.22446699404932,-4.05724914457896,7.86102582082945e-05,0.00305646863659516,1.35116804105473,"ILMN_1672947","CAST","831"
0.576642687377908,7.08047023715261,4.05549082349589,7.9146331461938e-05,0.00307178706201827,1.34499578035155,"ILMN_1749324","DPYS","1807"
-1.03034725305165,8.1111008245494,-4.05455977899643,7.94315975834379e-05,0.00307733382895835,1.34172838567399,"ILMN_2076250","GPBP1L1","60313"
-1.18232169991676,8.23657429745729,-4.053584336673,7.97315195114163e-05,0.00308342752915527,1.33830582423433,"ILMN_1657790","SFRS11","9295"
-0.571739600772093,6.5587861963524,-4.05291791242467,7.99370479787877e-05,0.00308585554143827,1.33596790104816,"ILMN_1664910","RPSA","3921"
-0.83788648169179,7.50373924269128,-4.05113714418784,8.04887294044191e-05,0.0030920258190999,1.32972218610553,"ILMN_1798448","IDS","3423"
-0.823208805695996,7.12880599906545,-4.05055775690532,8.06690055496506e-05,0.0030920258190999,1.32769056502526,"ILMN_2273261","FBXO3","26273"
-0.81524947405572,7.34008476786678,-4.04754622618247,8.161226648823e-05,0.0031140683850051,1.31713437299174,"ILMN_2231985","HSPA13","6782"
-0.587378852197974,12.2467079710384,-4.04736805035585,8.16684026308687e-05,0.0031140683850051,1.31651001725716,"ILMN_3240943","LOC100133772","100133772"
-1.02890719165952,8.10863082133087,-4.04734321059902,8.16762315800671e-05,0.0031140683850051,1.31642297664001,"ILMN_2222317","DNAJB4","11080"
-0.855241001343725,7.24807243325281,-4.04601333583959,8.20964263169801e-05,0.00312457842274732,1.31176360562456,"ILMN_1663646","DMXL1","1657"
-0.882081004531827,7.75548591620525,-4.04442770362617,8.26001280375904e-05,0.00313822419669004,1.30620975764159,"ILMN_2401933","ATP2B1","490"
-0.524217864681287,9.84896648847312,-4.04325643653421,8.29740923472771e-05,0.00314690162870778,1.30210838538658,"ILMN_2262275","TRIM13","10206"
-0.988032324252256,7.44723148779127,-4.04231648313888,8.32753703655672e-05,0.00315279677156363,1.29881768039291,"ILMN_2373556","SPAST","6683"
-0.64566226743426,12.5323852794527,-4.04087439497385,8.37396249671682e-05,0.00315930752624824,1.29377022886678,"ILMN_3236377","C2orf69","205327"
